[2023-02-20T03:24:32.894708+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.DEBUG: This is debug [] []
[2023-02-20T03:24:32.897251+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.INFO: This is info [] []
[2023-02-20T03:24:32.897382+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.NOTICE: This is notice [] []
[2023-02-20T03:24:32.897484+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.WARNING: This is warning [] []
[2023-02-20T03:24:32.898009+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.ERROR: This is error [] []
[2023-02-20T03:24:32.898169+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.CRITICAL: This is critical [] []
[2023-02-20T03:24:32.898318+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.ALERT: This is alert [] []
[2023-02-20T03:24:32.898463+01:00] Akmalmp\BelajarPhpMvc\HandlerTest.EMERGENCY: This is emergency [] []
[2023-02-20T06:40:44.984258+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-0 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101133+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-1 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101245+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-2 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101329+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-3 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101409+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-4 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101502+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-5 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101583+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-6 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101659+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-7 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101734+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-8 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101810+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-9 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101885+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-10 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.101963+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-11 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102040+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-12 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102116+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-13 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102192+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-14 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102267+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-15 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102408+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-16 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102554+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-17 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102684+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-18 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
[2023-02-20T06:40:45.102768+01:00] Akmalmp\BelajarLogger\ResetTest.INFO: Perulangan ke-19 [] {"hostname":"Laptop-Akmal","memory_usage":"4 MB","git":{"branch":"master","commit":"e257bab536b4fe8c544f605bc8303ea2650c96e0"}}
